iter	RMSE
0	0.4100797236
1	0.4071308969
2	0.4034723725
3	0.4010088299
4	0.3984485673
5	0.395263366
6	0.3921074766
7	0.3889961017
8	0.3862319087
9	0.3829827605
10	0.381006031
11	0.3784022355
12	0.3763308013
13	0.373320398
14	0.3711120223
15	0.3684110503
16	0.3654521138
17	0.3625930975
18	0.360311596
19	0.3581888201
20	0.35527384
21	0.3529736983
22	0.3504134686
23	0.3492046595
24	0.3472375668
25	0.3448578442
26	0.3424602124
27	0.3401127554
28	0.3376690252
29	0.3343112327
30	0.3315374081
31	0.3295308051
32	0.3266203489
33	0.3240891032
34	0.3220449159
35	0.3203324802
36	0.3184126113
37	0.3162032533
38	0.3141786407
39	0.311639617
40	0.3094281364
41	0.3070535543
42	0.30546269
43	0.3036395451
44	0.3016159213
45	0.2994658665
46	0.2977679196
47	0.2957413767
48	0.2937874243
49	0.2919088158
50	0.2902450327
51	0.2884299533
52	0.2865052666
53	0.2850105324
54	0.2831428257
55	0.2814125866
56	0.2798279184
57	0.2779780474
58	0.2763128019
59	0.2741525216
60	0.2723869251
61	0.2706880766
62	0.2688684856
63	0.2671565206
64	0.2654167703
65	0.2637354583
66	0.2617271714
67	0.260280089
68	0.2584367884
69	0.256925038
70	0.2553930361
71	0.253776286
72	0.2520601318
73	0.2503335798
74	0.248659559
75	0.2472050515
76	0.2457804161
77	0.2445282354
78	0.243144457
79	0.2418612644
80	0.2406245202
81	0.2388802763
82	0.2372214732
83	0.2358850844
84	0.2350142553
85	0.2331756959
86	0.2320933405
87	0.2306968875
88	0.2289282074
89	0.2274565879
90	0.2262150915
91	0.2244439594
92	0.2234336009
93	0.2219840233
94	0.2205306386
95	0.2188809431
96	0.2176910662
97	0.2163068976
98	0.2151980949
99	0.2140010069
100	0.2128973071
101	0.2113293701
102	0.2101870836
103	0.2088279796
104	0.2076305108
105	0.2061730779
106	0.205073313
107	0.2038944501
108	0.2026603155
109	0.2014706068
110	0.2004109609
111	0.1992008513
112	0.1981796398
113	0.1969768235
114	0.1957625983
115	0.194607002
116	0.1935055693
117	0.1925945861
118	0.191248671
119	0.190216958
120	0.1891865369
121	0.1882017214
122	0.1866791092
123	0.1853750681
124	0.1844715136
125	0.1834285888
126	0.1824358095
127	0.181462425
128	0.1805236394
129	0.1792165097
130	0.1783216411
131	0.177281623
132	0.1763846477
133	0.1754788143
134	0.1746809382
135	0.1738325282
136	0.1729946445
137	0.1720063304
138	0.1711194963
139	0.1703812492
140	0.1689737083
141	0.168038258
142	0.1669837077
143	0.1657508104
144	0.1647402388
145	0.1638980503
146	0.1630262747
147	0.1622876523
148	0.161564026
149	0.1607647591
150	0.1598989866
151	0.1591355449
152	0.1581618496
153	0.1574328218
154	0.1565149207
155	0.1557144568
156	0.1547656293
157	0.1540377553
158	0.1531029648
159	0.1522715941
160	0.1514282023
161	0.1504674676
162	0.1495914825
163	0.1488627549
164	0.1479494358
165	0.1471998673
166	0.1465748899
167	0.145569225
168	0.1448619929
169	0.1442192253
170	0.1434662711
171	0.1427959038
172	0.1420575531
173	0.1411588968
174	0.1402730382
175	0.1395951882
176	0.138919255
177	0.1383622843
178	0.1377108678
179	0.1369965796
180	0.1362179501
181	0.1356175098
182	0.1349668695
183	0.1343581116
184	0.133393439
185	0.1328130222
186	0.1322178486
187	0.1315747523
188	0.1309866581
189	0.1303293468
190	0.1296230464
191	0.1290592645
192	0.1283525883
193	0.1275432573
194	0.1268542703
195	0.126256787
196	0.1257173015
197	0.125043624
198	0.1243293659
199	0.1237308106
200	0.1232440103
201	0.122695228
202	0.1221244142
203	0.1215356798
204	0.1209470287
205	0.1203976758
206	0.1198322578
207	0.1192877666
208	0.118810236
209	0.118195059
210	0.1176108781
211	0.1171169208
212	0.11661511
213	0.1160756051
214	0.1155778754
215	0.1148814141
216	0.1143672027
217	0.1136920557
218	0.1130171279
219	0.1122832361
220	0.1117020241
221	0.1109649887
222	0.1104671945
223	0.1098439997
224	0.1093409504
225	0.1089099457
226	0.1083085177
227	0.1076594179
228	0.1072103302
229	0.1066914377
230	0.1061072002
231	0.1056181802
232	0.1049697971
233	0.1043039247
234	0.103644851
235	0.1032029239
236	0.1024989123
237	0.1018338543
238	0.1013874012
239	0.1009344443
240	0.100468075
241	0.09980829171
242	0.09935972428
243	0.09874817028
244	0.09833991734
245	0.09791800535
246	0.09751064214
247	0.09709442334
248	0.09642267989
249	0.0960018493
250	0.09560403962
251	0.09501106868
252	0.09448577483
253	0.09377113301
254	0.09319329904
255	0.09265243306
256	0.09225600946
257	0.09187224817
258	0.09144056434
259	0.0908544393
260	0.09046302877
261	0.08987337737
262	0.08928332134
263	0.0889200471
264	0.08853431908
265	0.08819021165
266	0.08768476367
267	0.0870732374
268	0.08652465299
269	0.08597990755
270	0.08559783649
271	0.08502574809
272	0.08447856445
273	0.08412256612
274	0.08375387529
275	0.08321718002
276	0.0827334691
277	0.08215082961
278	0.08163387632
279	0.08106667864
280	0.0805387523
281	0.08019682907
282	0.07987532607
283	0.07953613547
284	0.07903623599
285	0.07852662127
286	0.07802233376
287	0.07771095693
288	0.07722280686
289	0.07673806168
290	0.07624556687
291	0.0757167153
292	0.07524201681
293	0.07492796844
294	0.07461797347
295	0.07415013423
296	0.07366928482
297	0.07324154593
298	0.07278274678
299	0.07246038552
300	0.07195168583
301	0.07166655395
302	0.07123828473
303	0.07079217539
304	0.07051256338
305	0.07010334899
306	0.06969671427
307	0.06939402225
308	0.06899164906
309	0.06853392036
310	0.06810524418
311	0.06767954568
312	0.067231715
313	0.06681203469
