,Feature,accuracy,param
0,"(24, 27)",0.8275862068965517,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(4, 24, 27)",0.8275862068965517,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(4, 15, 24, 27)",0.8275862068965517,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(4, 6, 15, 24, 27)",0.8850574712643678,"{'C': 100, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(4, 6, 8, 15, 24, 27)",0.8735632183908046,"{'C': 10, 'penalty': 'l2', 'random_state': 1, 'solver': 'liblinear'}"
0,"(4, 6, 8, 15, 16, 24, 27)",0.8620689655172413,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 4, 6, 8, 15, 16, 24, 27)",0.8505747126436781,"{'C': 1, 'penalty': 'l2', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 4, 6, 8, 15, 16, 19, 24, 27)",0.8505747126436781,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 4, 6, 8, 15, 16, 19, 22, 24, 27)",0.8735632183908046,"{'C': 10, 'penalty': 'l2', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 4, 6, 8, 10, 15, 16, 19, 22, 24, 27)",0.8735632183908046,"{'C': 10, 'penalty': 'l2', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 4, 6, 8, 10, 15, 16, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 6, 8, 10, 15, 16, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 5, 6, 8, 10, 15, 16, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 100, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 5, 6, 8, 9, 10, 15, 16, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 100, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 5, 6, 8, 9, 10, 11, 15, 16, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 100, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 5, 6, 8, 9, 10, 11, 13, 15, 16, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 100, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 100, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 100, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 24, 27)",0.8735632183908046,"{'C': 100, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 24, 27)",0.8620689655172413,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 22, 24, 27)",0.8620689655172413,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24, 27)",0.8620689655172413,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24, 26, 27)",0.8620689655172413,"{'C': 100, 'penalty': 'l2', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 26, 27)",0.8620689655172413,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27)",0.8620689655172413,"{'C': 100, 'penalty': 'l2', 'random_state': 1, 'solver': 'liblinear'}"
0,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27)",0.8505747126436781,"{'C': 10, 'penalty': 'l1', 'random_state': 1, 'solver': 'liblinear'}"
